id;luas_m2;harga_juta;kota;kamar;tahun_bangun;kondisi
75;56.9;176;Semarang;2;1999;sedang
76;282.4;1077;Bandung;1;2001;sedang
77;308.4;1005;Bandung;2;1987;rusak
78;43.8;139;Medan;1;2017;baik
79;240.7;987;Jogja;5;2001;baik
80;193.8;1719.25;Jakarta;2;1986;sedang
81;326.4;1492;Depok;5;2020;sedang
82;308.5;1204;Surabaya;5;1982;baik
83;235.1;655;Mksr;1;2012;baik
84;218.5;696;Bandung;2;2099;sedang
85;74.9;304;Yogyakarta;5;1995;baik
86;-50;345;Depok;5;2008;baik
87;98.7;575;Jakarta;1;1988;bagus
88;237.7;1468;Jakarta;3;2016;cukup
89;224.2;691;Semarang;2;1984;bagus
90;166.7;655;Jogja;1;1997;baik
91;72.3;655;Jogja;3;2009;baik
92;210.3;818;Depok;2;2002;baik
93;193.8;455;Yogyakarta;4;1986;baik
94;310.8;767;Makassar;3;1998;cukup
95;225.4;655;Depok;4;1983;bagus
96;343.6;1687;Jakarta;3;2011;baik
97;135.2;380;Medan;1;1989;sedang
98;268;1525;Jakarta;4;2007;sedang
99;310.6;1148;Bandung;4;2005;sedang
100;167.6;529;Bandung;5;2015;baik
101;288.5;1023;Semarang;1;1998;baik
102;221.6;1719.25;Medan;4;2022;sedang
103;178.5;655;Mdn;3;9999;sedang
104;512.975;179;Ygy;4;1985;bagus
105;319.4;943;Semarang;4;1987;baik
106;270.2;677;Medan;3;2012;baik sekali
107;110.3;247;Mksr;4;1982;sedang
108;341.2;1357;Sby;6;2010;baik
109;165.5;696;Surabaya;2;1992;baik
110;65.7;655;Makassar;1;1993;baik
111;222.7;595;Makassar;4;2016;baik
112;327.3;1146;Surabaya;4;2022;baik
113;193.8;1091;Bandung;4;1987;rusak
114;67.1;210;Medan;3;2003;jelek
115;52.8;206;Yogyakarta;2;2002;baik
116;286.2;634;Makassar;1;1983;sedang
117;193.8;171;Makassar;6;2001;rusak
118;339.4;1384;Surabaya;4;1990;baik
119;336.1;1382;Surabaya;1;2019;jelek
120;90.8;655;Yogyakarta;5;1996;rusak
121;69.3;231;Jogja;2;2002;rusak
122;81.9;349;Depok;6;2011;baik
123;74.3;247;Smg;3;1990;bagus
124;77.2;258;Yogyakarta;4;2003;baik
125;160.8;455;Makassar;4;2002;rusak
126;330.2;1050;Semarang;6;1993;baik
127;193.8;655;Makassar;5;2008;baik
128;84.1;202;Makassar;2;1986;baik
129;88;252;Makassar;4;1986;bagus
130;215.4;941;Yogyakarta;1;2013;cukup
